,R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FG%_z_score,FT%,FTM,FTA,FT%_z_score,3PM,3PM_z_score,PTS,PTS_z_score,TREB,TREB_z_score,AST,AST_z_score,STL,STL_z_score,BLK,BLK_z_score,TOTAL
0,1,3.5,Victor Wembanyama,C,SA,70,31.1,0.473,8.8,18.6,-0.04,0.802,4.5,5.6,0.48,2.0,0.39,24.1,1.62,11.6,2.71,4.4,0.76,1.4,1.21,3.9,7.37,14.49
1,2,1.7,Nikola Jokic,C,DEN,75,34.1,0.585,10.4,17.8,4.04,0.819,4.8,5.8,0.97,1.1,-0.60,26.7,2.02,12.1,2.92,9.0,3.11,1.4,1.23,0.9,0.64,14.33
2,"3
                               
                                1",2.9,Luka Doncic,PG,DAL,68,36.8,0.491,11.3,23.0,0.77,0.792,7.6,9.7,0.42,4.1,2.77,34.4,3.15,9.3,1.80,9.9,3.57,1.4,1.34,0.5,-0.11,13.71
3,"4
                               
                                1",3.9,Shai Gilgeous-Alexander,PG,OKC,73,33.5,0.524,10.2,19.5,1.96,0.880,8.1,9.2,4.20,1.4,-0.29,29.9,2.49,5.1,0.11,6.5,1.83,1.9,2.55,0.9,0.78,13.62
4,5,11.3,Anthony Davis,PF/C,LAL,67,34.5,0.559,9.5,17.0,2.96,0.802,5.8,7.3,0.64,0.4,-1.45,25.2,1.78,12.7,3.17,3.6,0.34,1.2,0.83,2.3,3.84,12.11
5,6,10.3,Joel Embiid,C,PHI,60,31.4,0.518,9.1,17.6,1.56,0.871,8.7,9.9,4.11,1.3,-0.45,28.1,2.22,10.0,2.07,3.9,0.46,0.9,0.05,1.4,1.86,11.90
6,7,5.2,Giannis Antetokounmpo,PF/C,MIL,71,34.6,0.614,11.8,19.2,5.47,0.671,7.0,10.5,-3.39,0.6,-1.16,31.1,2.67,11.8,2.78,6.7,1.93,1.2,0.83,1.1,1.24,10.36
7,8,9.0,Tyrese Haliburton,PG/SG,IND,69,33.6,0.483,7.5,15.6,0.30,0.862,3.1,3.5,1.27,3.0,1.51,21.1,1.18,3.9,-0.34,11.1,4.16,1.4,1.45,0.7,0.29,9.81
8,9,17.7,Trae Young,PG,ATL,72,35.2,0.432,8.4,19.5,-1.71,0.877,7.8,8.9,3.92,3.4,1.98,28.1,2.22,2.9,-0.75,10.8,4.04,1.2,0.75,0.2,-0.93,9.52
9,10,9.4,Jayson Tatum,SF/PF,BOS,75,35.8,0.469,9.4,20.1,-0.25,0.836,6.1,7.3,1.79,2.9,1.41,27.9,2.18,9.0,1.66,5.1,1.10,1.1,0.62,0.7,0.36,8.87
10,11,28.4,James Harden,PG/SG,LAC,68,34.5,0.438,6.5,14.8,-1.07,0.871,4.7,5.3,2.17,2.8,1.28,20.4,1.07,6.1,0.50,10.4,3.84,1.1,0.62,0.7,0.36,8.77
11,12,22.8,Stephen Curry,PG,GS,68,31.4,0.469,8.8,18.7,-0.21,0.918,4.0,4.4,2.75,4.8,3.52,26.4,1.97,4.5,-0.14,5.3,1.21,0.8,-0.21,0.4,-0.31,8.58
13,13,16.3,Donovan Mitchell,PG/SG,CLE,67,33.7,0.468,9.1,19.5,-0.28,0.866,4.6,5.4,2.05,3.3,1.86,26.2,1.93,4.4,-0.14,5.4,1.27,1.6,1.80,0.4,-0.31,8.19
14,"14
                               
                                1",19.0,Kevin Durant,PF,PHO,65,35.2,0.520,9.5,18.3,1.70,0.846,4.6,5.5,1.58,2.1,0.46,25.7,1.87,6.4,0.65,4.8,0.96,0.8,-0.40,1.2,1.29,8.09
15,"15
                               
                                1",13.9,LeBron James,SF/PF,LAL,67,34.0,0.535,9.4,17.6,2.18,0.758,4.3,5.6,-0.65,2.1,0.47,25.2,1.78,7.2,0.96,8.2,2.70,1.1,0.62,0.5,-0.09,7.97
16,"16
                               
                                2",33.2,Kyrie Irving,PG/SG,DAL,61,34.8,0.495,9.2,18.6,0.79,0.907,3.2,3.6,2.02,3.0,1.51,24.6,1.70,4.9,0.04,5.2,1.15,1.2,0.67,0.6,-0.02,7.86
17,"17
                               
                                3",30.2,LaMelo Ball,PG,CHA,58,32.4,0.427,8.2,19.2,-1.89,0.857,3.2,3.7,1.24,3.6,2.19,23.2,1.49,5.7,0.35,8.6,2.91,1.6,1.93,0.3,-0.55,7.67
18,18,26.9,Damian Lillard,PG,MIL,70,35.2,0.432,7.7,17.8,-1.56,0.918,6.5,7.0,4.41,3.1,1.55,24.9,1.74,4.5,-0.10,7.1,2.12,0.9,0.08,0.3,-0.69,7.56
19,19,19.6,Devin Booker,PG/SG,PHO,68,35.1,0.490,9.9,20.1,0.65,0.873,5.9,6.8,2.82,2.2,0.58,27.8,2.17,4.5,-0.10,5.5,1.31,1.0,0.38,0.4,-0.33,7.47
20,"20
                               
                                3",20.4,Scottie Barnes,SG/SF/PF,TOR,70,34.8,0.479,7.0,14.5,0.17,0.791,3.5,4.4,0.14,1.7,0.07,19.1,0.89,8.3,1.41,6.0,1.57,1.3,1.13,1.5,2.06,7.44
21,21,21.5,Karl-Anthony Towns,PF/C,NY,67,33.7,0.501,7.4,14.8,0.84,0.873,4.4,5.1,2.11,2.2,0.58,21.4,1.23,9.5,1.86,3.3,0.19,0.7,-0.54,1.0,0.95,7.22
22,22,8.6,Domantas Sabonis,PF/C,SAC,77,35.6,0.600,7.2,12.1,3.14,0.725,3.9,5.4,-1.48,0.4,-1.40,18.8,0.84,13.2,3.36,7.9,2.54,0.9,0.05,0.6,0.13,7.19
23,23,40.2,Lauri Markkanen,SF/PF,UTA,64,33.5,0.483,8.3,17.1,0.30,0.884,4.9,5.6,2.61,3.1,1.61,24.5,1.69,8.4,1.45,1.9,-0.52,0.8,-0.38,0.5,-0.11,6.64
24,24,29.1,Chet Holmgren,C,OKC,75,30.6,0.530,6.5,12.2,1.42,0.793,2.8,3.5,0.13,1.7,-0.01,17.4,0.63,8.1,1.31,2.6,-0.20,0.7,-0.59,2.3,3.84,6.52
26,"25
                               
                                1",8.7,Anthony Edwards,SG/SF,MIN,79,35.4,0.460,9.3,20.3,-0.60,0.823,5.0,6.1,1.12,2.5,0.95,26.2,1.93,5.5,0.29,5.2,1.17,1.4,1.45,0.7,0.16,6.46
27,"26
                               
                                1",14.0,Jalen Brunson,PG,NY,74,34.9,0.484,9.8,20.3,0.41,0.839,5.3,6.4,1.66,2.7,1.16,27.7,2.16,3.7,-0.43,7.0,2.10,0.9,0.08,0.2,-0.84,6.29
28,27,47.3,Paul George,SF/PF,PHI,60,33.0,0.465,7.7,16.5,-0.32,0.889,3.8,4.3,2.10,3.0,1.45,22.1,1.33,5.0,0.10,3.4,0.21,1.4,1.45,0.4,-0.36,5.95
29,28,45.9,Jalen Williams,PF,OKC,73,32.2,0.536,7.8,14.5,1.86,0.822,2.8,3.4,0.58,1.7,0.03,20.0,1.02,4.6,-0.08,4.9,0.99,1.2,0.86,0.6,0.04,5.30
30,29,51.6,Jimmy Butler,SG/SF/PF,MIA,60,33.1,0.492,6.5,13.2,0.52,0.855,6.9,8.1,2.71,0.8,-0.99,20.7,1.12,5.4,0.24,5.1,1.10,1.3,1.15,0.3,-0.62,5.23
31,30,68.2,Jaren Jackson Jr.,PF/C,MEM,68,31.2,0.470,7.5,15.9,-0.12,0.800,4.6,5.8,0.44,1.7,0.08,21.3,1.20,6.3,0.61,1.7,-0.64,1.2,0.70,1.9,2.89,5.17
32,31,25.1,Tyrese Maxey,PG/SG,PHI,70,36.2,0.462,8.7,18.8,-0.49,0.859,4.1,4.8,1.67,3.0,1.48,24.4,1.67,3.5,-0.52,5.9,1.54,1.0,0.13,0.3,-0.55,4.93
33,"32
                               
                                4",16.6,Ja Morant,PG,MEM,63,33.6,0.470,9.2,19.6,-0.17,0.788,5.8,7.4,0.18,1.5,-0.13,25.8,1.88,5.9,0.45,8.2,2.71,0.9,0.00,0.5,-0.09,4.82
